LIAI,FIL,DESIGNATION,COUL,REP1,REP2,TYPE,LONG,OPTION,REF CON1,CODE APP.1,ALV1,NUM FAB.1,POS1,EXT1,REF JOINT1,REF CON2,CODE APP.2,ALV2,NUM FAB.2,POS2,EXT2,REF JOINT2
"RPG","0407","+ F/RT PRTJ G","BE","","","ACOR2Z-0.35","600","XUCEH2","8200308246","645AA","19","092","8B","8200176508","","4501020609","ERPG-A","R","E-41","10B","*EPISSURE*",""
"RPG","0469","+ F/RT PRTJ D","BE","","","ACOR2Z-0.75","460","PHAS2","243409596R","227AA","1","133","11A","7703497872","243521688R","4501020609","ERPG-A","L","E-41","10B","*EPISSURE*",""
"S","0408","+ SRVTD","Y/BR","","","NEWA3Z-4.00","545","ALL","243409232R","104AA","5","003","5E","243462330R","","4501020609","ES-A","R","E-42","7E","*EPISSURE*",""
"S","0409","+ SRVTD","Y","","","NEWA3Z-3.00","365","PRIACC","243512399R","260AA","E8","071","6D","8200790713","","4501020609","ES-A","L","E-42","7E","*EPISSURE*",""
"S","0410","+ SRVTD","Y","","","NEWA3Z-3.00","360","ALL","243512399R","260AA","E9","071","6D","8200790713","","4501020609","ES-A","L","E-42","7E","*EPISSURE*",""
"S","0411","+ SRVTD","Y","","","NEWA3Z-3.00","335","ALL","243512399R","260AA","E7","071","6D","8200790713","","4501020609","ES-A","L","E-42","7E","*EPISSURE*",""
"S","0475","+ SRVTD","Y","","","NEWA3Z-3.00","340","PHAS2","243512399R","260AA","E34","071","6D","8200790713","","4501020609","ES-A","R","E-42","7E","*EPISSURE*",""
"SP2","0413","+ SRVTD PRTJ / RD /","Y/W","","","NEWA3Z-0.35","325","RAD16F","243409762R","261BB","4","075","6I","243465531R","","4501020609","ESP2-A","L","E-44","7H","*EPISSURE*",""
"SP2","0415","+ SRVTD PRTJ / RD /","Y","","","ACOR2Z-0.35","1450","XUCEH2&&RAD16F","8200308246","645AA","28","092","8B","8200176508","","4501020609","ESP2-A","L","E-44","7H","*EPISSURE*",""
"SP3","0418","+ SRVTD PRTJ / CHF","Y","","","ACOR2Z-1.25","1085","CHOREC","243406658R","1156AA","1","005","8H","243469211R","","243512399R","260AA","S9","071","6D","8200943851",""
"SP4G","0421","+ SERV PROT/ ALLUME CIGARE","Y/BR","","","NEWA3Z-1.50","1835","PRIACC","243512399R","260AA","S8","071","6D","8200943851","","8200451088","506AA","2","090","3G","7703497701",""
"SP5","0474","+ SERVITUDE PROTEGE > FEUX ROUTE DRL","Y/W","","","NEWA3Z-0.35","2095","PHAS2","243512399R","260AA","S34","071","6D","8200943856","","243427Y006","1757AA","3","134","11K","8200185963","8200191429"
"SP5","0479","+ SERVITUDE PROTEGE > FEUX ROUTE DRL","Y/W","","","NEWA3Z-0.35","1065","PHAS2","243427Y006","1758AA","3","135","11B","8200185963","8200191429","243512399R","260AA","S34","071","6D","*Av 0474",""
"TB13","0422","BLND ANTENNE AM/FM","B","","CBL$1952","NEWA3Z-0.50","2815","RAD16F","8200963779","1208AA","2","009","4C","*---POE---","","8200963779","261BD","2","076","7H","*---POE---",""
"TB145","0422","BLND ANTENNE AM/FM","B","","CBL$1952","NEWA3Z-0.50","2815","RAD16F","8200963779","1208AA","2","009","4C","*---POE---","","8200963779","261BD","2","076","7H","*---POE---",""
