LIAI,FIL,DESIGNATION,COUL,REP1,REP2,TYPE,LONG,OPTION,REF CON1,CODE APP.1,ALV1,NUM FAB.1,POS1,EXT1,REF JOINT1,REF CON2,CODE APP.2,ALV2,NUM FAB.2,POS2,EXT2,REF JOINT2
"56K","0519","CPT DEPRS VAC","W","","","NEWA3Z-0.50","1390","STOSTA&&PHAS2","8200801669","1187AA","2","159","11F","8200185964","8200191432","243409329R","1094AA","32","162","8I","243460558R","243528728R"
"56L","0518","- CPTR PRSN MASTERVAC","GY","","","NEWA3Z-0.50","1375","STOSTA&&PHAS2","8200801669","1187AA","3","159","11F","8200185964","8200191432","243409329R","1094AA","12","162","8I","243460558R","243528728R"
"5A","0543","SGN+ CTCR P/FR","BE/W","","","NEWA3Z-0.35","640","FLEXFL&&L72F&&STOSTA&&BVM5&&PHAS2","8200676954","120BA","E4","160","9A","8200185963","","4501020609","E5A-A","L","E-47","8E","*EPISSURE*",""
"5A","0544","SGN+ CTCR P/FR","BE/W","","","NEWA3Z-0.35","530","XUCEH2&&STOSTA","8200451084","160AA","3","032","8F","7703497696","","4501020609","E5A-A","R","E-47","8E","*EPISSURE*",""
"5A","0545","SGN+ CTCR P/FR","BE/W","","","NEWA3Z-0.35","420","XUCEH2&&STOSTA","8200308246","645AA","26","092","8B","8200176508","","4501020609","E5A-A","L","E-47","8E","*EPISSURE*",""
"60AF","0171","SGN+ STL LT AV PSG","P/W","","CBL$11164","NEWA3Z-0.35","3110","RET02&&AIRBA2&&RHDD&&ABLAV&&PHAS2","243402257R","154-32C","1","024","8K","243465531R","","8200721409","756AA","41","101","2F","243469535R",""
"60AG","0174","SGN+ STL LT AV CDC","G/W","","CBL$10643","NEWA3Z-0.35","2690","(RET02&&AIRBA2&&LHDG&&SOPC1C&&ABLAV&&PHAS2&&LVAVEL)||(RET02&&AIRBA2&&LHDG&&SOP01&&ABLAV&&PHAS2&&LVAVMA)","243405695R","153-32G","1","020","8A","243465531R","","8200721409","756AA","46","101","2F","243469535R",""
"60AH","0176","SGN- STL LT AV CDC","GY/W","","CBL$10643","NEWA3Z-0.35","2685","(RET02&&AIRBA2&&LHDG&&SOPC1C&&ABLAV&&PHAS2&&LVAVEL)||(RET02&&AIRBA2&&LHDG&&SOP01&&ABLAV&&PHAS2&&LVAVMA)","243405695R","153-32G","2","020","8A","243465531R","","8200721409","756AA","47","101","2F","243469535R",""
"60AJ","0178","SGN- STL LT AV PSG","BR/W","","CBL$11164","NEWA3Z-0.35","3110","RET02&&AIRBA2&&RHDD&&ABLAV&&PHAS2","243402257R","154-32C","2","024","8K","243465531R","","8200721409","756AA","40","101","2F","243469535R",""
"60AM","0179","CDE+ AB FRONTAL CDC NV1","G","","CBL$9634","NEWA3Z-0.50","2645","XUCEH2&&AIRBA2","8200902612","689AB","2","099","5F","8200337226","","8200721409","756AA","9","101","2F","7703497353",""
"60AN","0180","CDE- AB FRONTAL CDC NV1","P","","CBL$9634","NEWA3Z-0.50","2645","XUCEH2&&AIRBA2","8200902612","689AB","3","099","5F","8200337226","","8200721409","756AA","10","101","2F","7703497353",""
"60EA","0181","CDE+ AB THORAX BASSIN AVG","BE","","CBL$9878","NEWA3Z-0.50","620","AIRBA2&&ABLAV","8200902612","271-32A","1","083","2D","8200337226","","8200721409","756AA","13","101","2F","7703497353",""
"60EB","0182","CDE- AB THORAX BASSIN AVG","W","","CBL$9878","NEWA3Z-0.50","615","AIRBA2&&ABLAV","8200902612","271-32A","2","083","2D","8200337226","","8200721409","756AA","14","101","2F","7703497353",""
"60EC","0183","CDE+ AB THORAX BASSIN AVD","GY","","CBL$9917","NEWA3Z-0.50","775","AIRBA2&&ABLAV","8200902612","270-32A","1","080","2G","8200337226","","8200721409","756AA","12","101","2F","7703497353",""
"60ED","0184","CDE- AB THORAX BASSIN AVD","P","","CBL$9917","NEWA3Z-0.50","775","AIRBA2&&ABLAV","8200902612","270-32A","2","080","2G","8200337226","","8200721409","756AA","11","101","2F","7703497353",""
"60GL","0185","SGN DTCN PSG","G","","","NEWA3Z-0.50","835","AIRBA2&&ALOUC","8200308250","270-32B","1","081","3H","8200176508","","8200721409","756AA","33","101","2F","243469535R",""
"60GU","0661","SGN+ CTCR CNTR ARG","G/W","","","NEWA3Z-0.35","5205","AIRBA2&&ALOUC5","8200308252","427-32A","1","148","3I","8200176508","","8200721409","756AA","38","101","2F","243469535R",""
"60GV","0552","SGN- CTC BCL AR CTRL","P/W","","","NEWA3Z-0.35","3650","AIRBA2&&ALOUC5","8200308252","427-32A","2","148","3I","8200176508","","4501020609","E60GV-A","R","E-56","7C","*EPISSURE*",""
"60GV","0555","SGN- CTC BCL AR CTRL","P/W","","","NEWA3Z-0.35","2520","AIRBA2&&ALOUC5","8200308252","428-32A","2","147","5C","8200176508","","4501020609","E60GV-A","L","E-56","7C","*EPISSURE*",""
"60GV","0558","SGN- CTC BCL AR CTRL","P/W","","","NEWA3Z-0.35","2190","AIRBA2&&ALOUC5","8200721409","756AA","37","101","2F","243469535R","","4501020609","E60GV-A","R","E-56","7C","*EPISSURE*",""
"60H","0186","CDE+ AB FRONTAL PSG NV 1","BR","","CBL$10485","NEWA3Z-0.50","2830","XUCEH2&&AIRBA2","8200902612","292-32B","1","086","7I","8200337226","","8200721409","756AA","20","101","2F","7703497353",""
"60HQ","0187","SGN+ CTCR CNTR AVD","G/W","","","NEWA3Z-0.35","795","AIRBA2&&ALOUC","8200308252","270-32C","3","082","2G","8200176508","","8200721409","756AA","31","101","2F","243469535R",""
"60HR","0188","SGN- CTCR CNTR AVD","BE/W","","","NEWA3Z-0.35","355","AIRBA2&&ALOUC","8200308250","270-32B","2","081","3H","8200176508","","4501020609","E60HR-A","R","E-12","3F","*EPISSURE*",""
"60HR","0189","SGN- CTCR CNTR AVD","BE/W","","","NEWA3Z-0.35","480","AIRBA2&&ALOUC","8200721409","756AA","32","101","2F","243469535R","","4501020609","E60HR-A","L","E-12","3F","*EPISSURE*",""
"60HR","0190","SGN- CTCR CNTR AVD","BE/W","","","NEWA3Z-0.35","315","AIRBA2&&ALOUC","8200308252","270-32C","4","082","2G","8200176508","","4501020609","E60HR-A","R","E-12","3F","*EPISSURE*",""
"60HS","0191","SGN+ CTCR CNTR AVG","G/W","","","NEWA3Z-0.35","620","AIRBA2&&ALOUC","8200308252","271-32B","3","084","2D","8200176508","","8200721409","756AA","45","101","2F","243469535R",""
"60HT","0192","SGN- CTCR CNTR AVG","BE/W","","","NEWA3Z-0.35","625","AIRBA2&&ALOUC","8200308252","271-32B","4","084","2D","8200176508","","8200721409","756AA","44","101","2F","243469535R",""
"60HU","0556","SGN- CTC BCL AR CTRL","GY/W","","","NEWA3Z-0.35","4705","AIRBA2&&ALOUC5","8200308252","428-32A","3","147","5C","8200176508","","8200721409","756AA","39","101","2F","243469535R",""
"60HW","0553","SGN+ CTCR CNTR ARD","P/W","","","NEWA3Z-0.35","5210","AIRBA2&&ALOUC5","8200308252","427-32A","3","148","3I","8200176508","","8200721409","756AA","34","101","2F","243469535R",""
"60K","0193","CDE- AB FRONTAL PSG NV 1","L","","CBL$10485","NEWA3Z-0.50","2830","XUCEH2&&AIRBA2","8200902612","292-32B","2","086","7I","8200337226","","8200721409","756AA","19","101","2F","7703497353",""
"60KX","0194","SGN+ STLT LTRL G","G/W","","CBL$11184","NEWA3Z-0.35","4230","AIRBA2&&ABLAV","8200490359","1813AA","2","045","3B","8200185963","8200191429","8200721409","756AA","49","101","2F","243469535R",""
"60KY","0195","SGN- STLT LTRL G","BE/W","","CBL$11184","NEWA3Z-0.35","4235","AIRBA2&&ABLAV","8200490359","1813AA","1","045","3B","8200185963","8200191429","8200721409","756AA","48","101","2F","243469535R",""
"60KZ","0196","SGN+ STLT LTRL D","BE/W","","CBL$11162","NEWA3Z-0.35","4665","AIRBA2&&ABLAV","8200490360","1814AA","2","046","2K","8200185963","8200191429","8200721409","756AA","42","101","2F","243469535R",""
"60LA","0197","SGN- STLT LTRL D","BR/W","","CBL$11162","NEWA3Z-0.35","4665","AIRBA2&&ABLAV","8200490360","1814AA","1","046","2K","8200185963","8200191429","8200721409","756AA","43","101","2F","243469535R",""
"60NA","0198","CDE+ ELR AVD","L","","CBL$9915","NEWA3Z-0.50","4195","PTCAV2&&AIRBA2","8200963779","1626AA","1","035","5K","*---POE---","","8200721409","756AA","17","101","2F","7703497353",""
"60NB","0199","CDE- ELR AVD","BR","","CBL$9915","NEWA3Z-0.50","4195","PTCAV2&&AIRBA2","8200963779","1626AA","2","035","5K","*---POE---","","8200721409","756AA","18","101","2F","7703497353",""
"60NC","0200","CDE+ ELR AVG","L","","CBL$9879","NEWA3Z-0.50","3875","PTCAV&&AIRBA2","8200963779","1625AA","1","034","5A","*---POE---","","8200721409","756AA","16","101","2F","7703497353",""
"60ND","0201","CDE- ELR AVG","BR","","CBL$9879","NEWA3Z-0.50","3875","PTCAV&&AIRBA2","8200963779","1625AA","2","034","5A","*---POE---","","8200721409","756AA","15","101","2F","7703497353",""
"64C","0509","CDE F/ID G","GY/W","","","NEWA3Z-0.35","3840","PHAS2&&SANA78","243405460R","173AA","4","038","2A","8200061983","","243409762R","645AC","5","094","8C","243468332R",""
"64C","0640","CDE F/ID G","GY/W","","","NEWA3Z-0.35","1110","XUCEH2&&PHAS2","243409762R","645AC","5","094","8C","*Av 0509","","243427Y006","1758AA","4","135","11B","8200185963","8200191429"
"64D","0206","CDE F/ID D","BE/W","","","NEWA3Z-0.35","1040","XUCEH2","243409762R","645AC","12","094","8C","243465531R","","4501020609","E64D-A","L","E-14","7I","*EPISSURE*",""
"64D","0470","CDE F/ID D","BE/W","","","NEWA3Z-0.35","2705","PHAS2","243427Y006","1757AA","4","134","11K","8200185963","8200191429","4501020609","E64D-A","L","E-14","7I","*EPISSURE*",""
"64D","0504","CDE F/ID D","BE/W","","","NEWA3Z-0.35","3670","PHAS2&&SANA78","243405460R","172AA","4","037","1I","8200061983","","4501020609","E64D-A","R","E-14","7I","*EPISSURE*",""
"64F","0208","CDE+ TMN F/DTRS","GY/W","","","NEWA3Z-0.35","1355","XUCEH2","8200300688","2668AA","4","077","5H","8200176508","","8200308246","645AA","11","092","8B","8200176508",""
"64Q","0209","CDE- TPRZ C/CLG","BR","","","ACOR2Z-0.35","1360","XUCEH2","8200300688","2668AA","3","077","5H","8200176508","","8200308246","645AA","8","092","8B","8200176508",""
"64S","0210","CDE MZ/M TPRZ CLG D / UCE","G","","","ACOR2Z-0.35","1060","XUCEH2","243409762R","209AA","6","056","5E","243465531R","","8200308246","645AA","22","092","8B","8200176508",""
"64T","0211","CDE MZ/M TPRZ CLG G / UCE","P","","","ACOR2Z-0.35","1055","XUCEH2","243409762R","209AA","8","056","5E","243465531R","","8200308246","645AA","1","092","8B","8200176508",""
"65A","0213","CDE+ F/ST","GY","","","ACOR2Z-0.35","1110","ALL","243409327R","639AA","1","091","1B","243463623R","","4501020609","E65A-A","L","E-15","3B","*EPISSURE*",""
"65A","0214","CDE+ F/ST","GY","","","ACOR2Z-0.35","3835","ALL","8200451084","160AA","1","032","8F","7703497696","","4501020609","E65A-A","R","E-15","3B","*EPISSURE*",""
"65A","0216","CDE+ F/ST","GY/W","","","NEWA3Z-0.35","3435","XUCEH2","243401712R","645AD","8","095","8C","243465531R","","4501020609","E65A-A","R","E-15","3B","*EPISSURE*",""
"65A","0508","CDE+ F/ST","GY","","","ACOR2Z-0.35","7640","PHAS2&&SANA78","243405460R","172AA","2","037","1I","8200061983","","4501020609","E65A-A","R","E-15","3B","*EPISSURE*",""
"65A","0513","CDE+ F/ST","GY","","","ACOR2Z-0.35","435","PHAS2&&SANA78","243405460R","173AA","2","038","2A","8200061983","","4501020609","E65A-A","L","E-15","3B","*EPISSURE*",""
"67D","0217","CDE RL A/S","BR/W","","","NEWA3Z-0.35","1300","AIRBA2","243406077R","689AD","1","100","4F","243464112R","","243510051R","777AA","A2","102","11E","8200943862",""
"80A","0532","SGN- CTC CP MOT","BR/W","","","NEWA3Z-0.35","1415","XUCEH2&&STOSTA","8200490359","438AA","1","145","10C","8200185963","8200191429","8200405652","645AB","20","093","9C","8200176508",""
"80X","0219","SGN REP TR","W","","","NEWA3Z-0.50","1120","ANTID&&XUCEH2","8200177348","1618AA","4","033","4F","8200176508","","8200308246","645AA","17","092","8B","8200176508",""
"80Y","0220","SGN QEST TR","GY","","","NEWA3Z-0.50","1120","ANTID&&XUCEH2","8200177348","1618AA","1","033","4F","8200176508","","8200308246","645AA","18","092","8B","8200176508",""
"86D","0590","SGN+ DBRLJ","BE/W","","","NEWA3Z-0.35","740","FLEXFL&&L72F&&BVM5&&PHAS2","8200676954","120BA","C4","160","9A","8200185963","","8200451076","675AA","2","096","7E","8200858001",""
"86D","0635","SGN+ DBRLJ","BE/W","","","NEWA3Z-0.35","535","XUCEH2&&BVM5&&PHAS2","8200308246","645AA","21","092","8B","8200176508","","8200451076","675AA","2","096","7E","*Av 0590",""
"A","0228","+ APRES CONTACT","Y","","","NEWA3Z-3.00","530","ALL","243512399R","260AA","E30","071","6D","","","4501020609","EA-C","R","E-17","6F","*EPISSURE*",""
"A","0229","+ APRES CONTACT","Y","","","NEWA3Z-3.00","560","ALL","243512399R","260AA","E26","071","6D","","","4501020609","EA-C","R","E-17","6F","*EPISSURE*",""
"A","0230","+ APRES CONTACT","Y","","","NEWA3Z-3.00","350","ALL","243409232R","104AA","1","003","5E","243465146R","","4501020609","EA-C","L","E-17","6F","*EPISSURE*",""
"AP1","0232","+ APC PRTJ/FZB LVE AV/ARG","Y","","","ACOR2Z-0.35","880","ALL","8200451084","160AA","2","032","8F","7703497696","","243512399R","260AA","S25","071","6D","8200943862",""
"AP23","0574","+ APC PRTJ/FZB DAV","Y/W","","","NEWA3Z-0.35","1070","DA&&PHAS2","243409651R","1232AB","1","151","4F","7703497454","","243512399R","260AA","S29","071","6D","8200943862",""
"AP25","0234","+ APC PRTJ/FZB AIRBAG","Y/W","","","NEWA3Z-0.35","2240","AIRBA2","243512399R","260AA","S30","071","6D","8200943862","","8200721409","756AA","50","101","2F","243469535R",""
"AP29","0238","+ APC PRTJ/FZB FCS MOT SCR","Y","","","ACOR2Z-0.35","450","XUCEH2","8200308246","645AA","29","092","8B","8200176508","","4501020609","EAP29-A","L","E-18","9D","*EPISSURE*",""
"AP29","0588","+ APC PRTJ/FZB FCS MOT SCR","Y/W","","","NEWA3Z-0.35","335","FLEXFL&&L72F&&BVM5&&PHAS2","8200676954","120BA","D1","160","9A","8200185963","","4501020609","EAP29-A","R","E-18","9D","*EPISSURE*",""
"AP29","0677","+ APC PRTJ/FZB FCS MOT SCR","Y/W","","","NEWA3Z-0.35","380","PHAS2&&BVM5","243512399R","260AA","B1","071","6D","7703497845","","4501020609","EAP29-A","R","E-18","9D","*EPISSURE*",""
"AP29","0678","+ APC PRTJ/FZB FCS MOT SCR","Y/W","","","NEWA3Z-0.35","395","PHAS2","243512399R","260AA","S24","071","6D","8200943862","","4501020609","EAP29-A","L","E-18","9D","*EPISSURE*",""
"AP7","0244","+ APC PRTJ/FZB E/V AV","Y/O","","","NEWA3Z-1.25","380","ALL","243401712R","145AA","4","016","4E","243465184R","","4501020609","EAP7-A","L","E-21","6F","*EPISSURE*",""
"AP7","0245","+ APC PRTJ/FZB E/V AV","Y/O","","","NEWA3Z-1.25","770","XUCEH2&&EVC","243409762R","645AC","3","094","8C","243465184R","","4501020609","EAP7-A","L","E-21","6F","*EPISSURE*",""
"AP7","0246","+ APC PRTJ/FZB E/V AV","Y","","","ACOR2Z-2.00","645","ALL","243512399R","260AA","S27","071","6D","8200943851","","4501020609","EAP7-A","R","E-21","6F","*EPISSURE*",""
"AP7","0247","+ APC PRTJ/FZB E/V AV","Y/O","","","NEWA3Z-1.25","1330","ALL","243425L54D","212AA","1","059","12F","7703497853","7703697009","4501020609","EAP7-A","R","E-21","6F","*EPISSURE*",""
"AP72","0248","+ APC PRTJ/FZB FEUX JOUR DRL","Y","","","NEWA3Z-0.50","520","LAC","243512399R","260AA","A1","071","6D","7703497846","","243512399R","260AA","S31","071","6D","8200943856",""
"AP72","0251","+ APC PRTJ/FZB FEUX JOUR DRL","Y/W","","","NEWA3Z-0.35","1260","LAC&&PHAS2","8200300688","2668AA","8","077","5H","8200176508","","243512399R","260AA","S31","071","6D","*Av 0248",""
"AP9","0253","+ APC PRTJ/FZB E/L","Y/BR","","","NEWA3Z-0.75","395","ALL","243512399R","260AA","S26","071","6D","8200943856","","4501020609","EAP9-A","L","E-22","7E","*EPISSURE*",""
"AP9","0256","+ APC PRTJ/FZB E/L","Y/BR","","","NEWA3Z-0.75","635","ALL","243401712R","145AA","8","016","4E","243468332R","","4501020609","EAP9-A","R","E-22","7E","*EPISSURE*",""
"AP9","0257","+ APC PRTJ/FZB E/L","Y/W","","","NEWA3Z-0.35","990","BVM5","8200527487","212-32A","B10","058","11E","7703497696","","4501020609","EAP9-A","R","E-22","7E","*EPISSURE*",""
"B","0434","+BAT","R","","","NEWA3Z-3.00","165","LAC&&SPROJA","243510051R","777AA","E1","102","11E","8200790713","","243510051R","777AA","SBB","102","11E","8200790713",""
"BC","0261","+BAT / RL / C/CRCT","R/W","","","NEWA3Z-0.35","1080","XUCEH2","7703297647","225AA","16","064","6J","7703497696","","4501020609","EBC-A","R","E-23","8G","*EPISSURE*",""
"BC","0262","+BAT / RL / C/CRCT","R/BR","","","NEWA3Z-0.75","885","RAD16F","243409762R","261BB","5","075","6I","243468332R","","4501020609","EBC-A","R","E-23","8G","*EPISSURE*",""
"BC","0265","+BAT / RL / C/CRCT","R","","","NEWA3Z-1.00","735","ALL","243512399R","260AA","S15","071","6D","8200943856","","4501020609","EBC-A","L","E-23","8G","*EPISSURE*",""
"BC","0267","+BAT / RL / C/CRCT","R","","","NEWA3Z-0.50","2170","XUCEH2 && SOP01","243407319R","213AA","1","060","3E","7703497407","","4501020609","EBC-A","L","E-23","8G","*EPISSURE*",""
"BP11","0268","+BAT PRTJ / HBT 1","R","","","NEWA3Z-6.00","420","ALL","243510051R","777AA","S6","102","11E","8200945223","","4501020609","EBP11-A","R","E-24","9D","*EPISSURE*",""
"BP11","0269","+BAT PRTJ / HBT 1","R","","","NEWA3Z-3.00","295","ALL","243512399R","260AA","E16","071","6D","","","4501020609","EBP11-A","L","E-24","9D","*EPISSURE*",""
"BP11","0270","+BAT PRTJ / HBT 1","R","","","NEWA3Z-3.00","265","ALL","243512399R","260AA","E20","071","6D","","","4501020609","EBP11-A","L","E-24","9D","*EPISSURE*",""
"BP13","0271","+BAT PRTJ / HBT 3","R","","","NEWA3Z-5.00","720","ALL","243409232R","104AA","7","003","5E","243462330R","","4501020609","EBP13-A","L","E-25","8D","*EPISSURE*",""
"BP13","0272","+BAT PRTJ / HBT 3","R","","","NEWA3Z-3.00","210","BVM5","243512399R","260AA","E14","071","6D","8200790713","","4501020609","EBP13-A","L","E-25","8D","*EPISSURE*",""
"BP13","0275","+BAT PRTJ / HBT 3","R","","","NEWA3Z-3.00","245","BVM5","243512399R","260AA","E36","071","6D","8200790713","","4501020609","EBP13-A","L","E-25","8D","*EPISSURE*",""
"BP13","0276","+BAT PRTJ / HBT 3","R","","","NEWA3Z-6.00","475","ALL","243510051R","777AA","S7","102","11E","8200945223","","4501020609","EBP13-A","R","E-25","8D","*EPISSURE*",""
"BP13","0277","+BAT PRTJ / HBT 3","R","","","NEWA3Z-3.00","220","ALL","243512399R","260AA","E13","071","6D","8200790713","","4501020609","EBP13-A","L","E-25","8D","*EPISSURE*",""
"BP14","0656","+BAT PRTJ / ABR","R/BR","","","NEWA3Z-1.50","1870","ABS&&PHAS2","243409329R","1094AA","25","162","8I","243465177R","243522430R","243510051R","777AA","S4","102","11E","7703497847",""
"BP15","0676","+BAT PRTJ / L/ARC","R","","","NEWA3Z-2.00","720","PHAS2&&LAC","243512399R","260AA","A3","071","6D","7703497847","","243510051R","777AA","S1","102","11E","8200943851",""
"BP1C","0604","+ BATT PROT/ UPC","R/W","","","NEWA3Z-0.35","830","XUCEH2&&AVESM","243409762R","645AC","9","094","8C","243468332R","","243510051R","777AA","S3","102","11E","8200943862",""
"BP1C","0638","+ BATT PROT/ UPC","R","","","NEWA3Z-0.50","1100","XUCEH2&&AVESM","8200490359","928AB","1","158","11B","8200185964","8200191432","243409762R","645AC","9","094","8C","*Av 0604",""
"BP1D","0563","+ BATT PROT/ DEMARREUR","R/P","","","NEWA3Z-2.50","205","BVM5&&STOSTA","243512399R","260AA","S36","071","6D","8200943851","","243512399R","260AA","B3","071","6D","7703497403",""
"BP1D","0565","+ BATT PROT/ DEMARREUR","R/P","","","NEWA3Z-2.50","910","BVM5&&STOSTA","8200527487","212-32A","A12","058","11E","7703497701","","243512399R","260AA","B3","071","6D","*Av 0563",""
"BP56","0283","+BAT PROT/FUS/UCE A (AW)","R","","","NEWA3Z-0.50","440","XUCEH2","243512399R","260AA","S17","071","6D","8200943856","","243409762R","645AC","11","094","8C","243465531R",""
"BP69","0457","+ BAT PRTJ / T/B / UCE","R/W","","","NEWA3Z-0.35","865","XUCEH2&&PHAS2","8200489954","247AA","5","131","6E","8200176508","","243512399R","260AA","S13","071","6D","8200943862",""
"BP75","0285","+ BAT PRTJ / FZB ALRM","R/W","","","NEWA3Z-0.35","720","ALL","243512399R","260AA","S16","071","6D","8200943856","","243510051R","777AA","A1","102","11E","8200943862",""
"BP75","0286","+ BAT PRTJ / FZB ALRM","R","","","NEWA3Z-0.50","725","ALL","243512399R","260AA","S16","071","6D","*Av 0285","","243510051R","777AA","A3","102","11E","7703497846",""
"BP76","0287","+ BAT PRTJ / CDE ECL","R","","","NEWA3Z-0.50","410","XUCEH2","243512399R","260AA","S20","071","6D","8200943856","","243409762R","645AC","10","094","8C","243465531R",""
"BP8","0657","+BAT PROT/ ABS ENGINE RELAY FUSE","R/BR","","","NEWA3Z-4.00","1845","ABS&&PHAS2","243409329R","1094AA","1","162","8I","243466324R","243520878R","243102525R","777AB","S1","103","10E","8200945148",""
"BP81","0570","+BAT PRTJ / DA ELCT","R","","","NEWA3Z-6.00","1380","DA&&PHAS2","8200280892","1232AA","A","150","5F","8200280778","","243510051R","777AA","S5","102","11E","8200945223",""
"BPA2","0291","+ BAT PRTJ MONOMANETTE 2","R/BR","","","NEWA3Z-0.75","960","ALL","243409762R","209AA","4","056","5E","243468332R","","243512399R","260AA","S18","071","6D","8200943856",""
"BPA3","0292","+ BAT PRTJ MONOMANETTE 1","R/BR","","","NEWA3Z-0.75","950","ALL","243409762R","209AA","5","056","5E","243468332R","","243512399R","260AA","S14","071","6D","8200943856",""
"BPT","0294","+ BAT PRTJ TPRZ","R","","","NEWA3Z-0.50","410","XUCEH2","243512399R","260AA","E32","071","6D","8200943856","","243409762R","645AC","4","094","8C","243465531R",""
"BPT8","0299","+ BAT PRJ TPRZ 8","R","","","NEWA3Z-0.50","540","ANTID&&XUCEH2","8200177348","1618AA","3","033","4F","8200176508","","4501020609","EBPT8-A","R","E-27","7F","*EPISSURE*",""
"BPT8","0301","+ BAT PRJ TPRZ 8","R","","","NEWA3Z-0.50","770","XUCEH2","8200451084","160AA","4","032","8F","7703497696","","4501020609","EBPT8-A","L","E-27","7F","*EPISSURE*",""
"BPT8","0530","+ BAT PRJ TPRZ 8","R/W","","","NEWA3Z-0.35","615","STOSTA","8200451077","1759AA","2","143","8E","7703497696","","4501020609","EBPT8-A","L","E-27","7F","*EPISSURE*",""
"BPT8","0603","+ BAT PRJ TPRZ 8","R","","","NEWA3Z-0.50","1000","FLEXFL&&L72F&&BVM5&&PHAS2","8200527487","212-32A","C12","058","11E","7703497700","","4501020609","EBPT8-A","L","E-27","7F","*EPISSURE*",""
"BPT8","0658","+ BAT PRJ TPRZ 8","R/W","","","NEWA3Z-0.35","2045","ABS&&XUCEH2&&PHAS2","243409329R","1094AA","28","162","8I","243460558R","243529796R","4501020609","EBPT8-A","L","E-27","7F","*EPISSURE*",""
"BPT8","0675","+ BAT PRJ TPRZ 8","R/W","","","NEWA3Z-0.35","470","PHAS2&&XUCEH2","243512399R","260AA","S32","071","6D","8200943862","","4501020609","EBPT8-A","R","E-27","7F","*EPISSURE*",""
"CPD","0673","+ F/C PRTJ D","G/BR","","","NEWA3Z-0.75","1950","SSRSIT&&PHAS2","243512399R","260AA","S5","071","6D","8200943856","","243409596R","226AA","2","132","10K","7703497872","243521688R"
"CPG","0305","+ F/C PRTJ G","G","","","ACOR2Z-0.50","500","XUCEH2","243512399R","260AA","S4","071","6D","8200943851","","8200308246","645AA","37","092","8B","8200176508",""
"CPG","0467","+ F/C PRTJ G","G","","","ACOR2Z-0.75","965","PHAS2","243409596R","227AA","2","133","11A","7703497872","243521688R","243512399R","260AA","S4","071","6D","*Av 0305",""
"CSO","0306","+ F/C SMP OPTQ","W/BR","","","NEWA3Z-0.75","200","ALL","243512399R","260AA","E4","071","6D","8200943856","","243512399R","260AA","E5","071","6D","8200943851",""
"CSO","0307","+ F/C SMP OPTQ","W/BR","","","NEWA3Z-0.75","960","ALL","243409762R","209AA","3","056","5E","243468332R","","243512399R","260AA","E5","071","6D","*Av 0306",""
"D","0308","+ DMR","W","","","ACOR2Z-3.00","890","ALL","243409232R","104AA","4","003","5E","243465146R","","243512399R","260AA","E11","071","6D","8200790713",""
"DP","0309","+PRTJ FZB EXCITATION DMR","G/W","","","NEWA3Z-0.35","500","XUCEH2","243512399R","260AA","S11","071","6D","8200943862","","8200308246","645AA","39","092","8B","8200176508",""
"H1","0461","CDE- TMN F/M / NV L/FR","P","","","NEWA3Z-0.50","2545","XUCEH2&&PHAS2","FILMORT_1V","156AA","1","026","2G","7701997044","","8200489954","247AA","14","131","6E","8200176508",""
"H66P","0314","CDE+ F/MA","BR/W","","","NEWA3Z-0.35","660","XUCEH2","8200308246","645AA","40","092","8B","8200176508","","4501020609","EH66P-A","L","E-28","8F","*EPISSURE*",""
"H66P","0316","CDE+ F/MA","BR","","","NEWA3Z-0.50","1055","BVM5","8200527487","212-32A","C3","058","11E","7703497696","","4501020609","EH66P-A","L","E-28","8F","*EPISSURE*",""
"H66P","0505","CDE+ F/MA","BR","","","NEWA3Z-0.50","4110","PHAS2&&SANA78","243405460R","172AA","5","037","1I","7703497407","","4501020609","EH66P-A","R","E-28","8F","*EPISSURE*",""
"L","0318","+ F/P","L/BR","","","NEWA3Z-0.75","960","ALL","243409762R","209AA","1","056","5E","243468332R","","243512399R","260AA","E6","071","6D","8200943856",""
"LPG","0320","+ F/P G PRTJ","L/W","","","NEWA3Z-0.35","965","ALL","8200300688","2668AA","12","077","5H","8200176508","","4501020609","ELPG-A","L","E-29","8F","*EPISSURE*",""
"LPG","0322","+ F/P G PRTJ","L","","","NEWA3Z-0.50","5195","ALL","243409806R","1324AA","1","014","2G","243461867R","243529878R","4501020609","ELPG-A","R","E-29","8F","*EPISSURE*",""
"LPG","0323","+ F/P G PRTJ","L","","","ACOR2Z-0.50","510","ALL","243512399R","260AA","S6","071","6D","8200943856","","4501020609","ELPG-A","L","E-29","8F","*EPISSURE*",""
"LPG","0325","+ F/P G PRTJ","L/W","","","NEWA3Z-0.35","1085","RAD16F","243409762R","261BB","11","075","6I","243465531R","","4501020609","ELPG-A","R","E-29","8F","*EPISSURE*",""
"LPG","0329","+ F/P G PRTJ","L/W","","","NEWA3Z-0.35","925","ALL","243406491R","319AA","6","087","6H","243463623R","","4501020609","ELPG-A","R","E-29","8F","*EPISSURE*",""
"LPG","0471","+ F/P G PRTJ","L/W","","","NEWA3Z-0.35","2215","PHAS2","243427Y006","1757AA","2","134","11K","8200185963","8200191429","4501020609","ELPG-A","L","E-29","8F","*EPISSURE*",""
